Intervention_ID,Tag,Misinfo,Misinfo_Answer,Trust,TrustScore,Child,Gender,Race,BreastCancer,Familiarity,General,Correct,CorrectUnsure,Adherence,AdherenceUnsure ,Unsure,Participant_ID
Baseline,lung_2,True,True,True,4,True,Female,Black,False,True,False,0,0,1,1,0,65c8926a097bd8b7a1d1f29c
Baseline,rsv,True,True,True,4,False,Female,Black,False,False,False,0,0,1,1,0,58cab9bfc7ed3f000116e2a4
Baseline,cosleep,False,False,True,4,False,Female,Black,False,False,True,1,1,1,1,0,58cab9bfc7ed3f000116e2a4
Baseline,hrt,True,False,False,3,False,Female,Black,False,False,False,1,1,1,1,0,58cab9bfc7ed3f000116e2a4
Baseline,rsv_2,True,False,True,4,False,Female,Black,False,False,False,0,0,0,0,0,58cab9bfc7ed3f000116e2a4
Baseline,texas,True,True,True,4,False,Female,Black,False,False,False,0,0,1,1,0,58cab9bfc7ed3f000116e2a4
Baseline,formula_2,True,True,False,2,False,Female,Black,False,False,False,1,1,0,0,0,58cab9bfc7ed3f000116e2a4
Baseline,cosleep_2,False,False,True,4,False,Female,Black,False,False,False,1,1,1,1,0,58cab9bfc7ed3f000116e2a4
Baseline,formula,True,True,False,2,False,Female,Black,False,False,False,1,1,0,0,0,58cab9bfc7ed3f000116e2a4
Baseline,hrt_2,True,True,False,3,False,Female,Black,False,False,False,1,1,0,0,0,58cab9bfc7ed3f000116e2a4
Baseline,papsmear,False,False,False,1,False,Female,Black,False,False,False,0,0,0,0,0,58cab9bfc7ed3f000116e2a4
Baseline,papsmear_2,False,False,False,1,False,Female,Black,False,False,False,1,1,1,1,0,58cab9bfc7ed3f000116e2a4
Baseline,mammogram,False,False,True,4,False,Female,Black,False,False,False,0,0,0,0,0,58cab9bfc7ed3f000116e2a4
Baseline,IUD,False,False,True,4,False,Female,Black,False,False,True,1,1,1,1,0,58cab9bfc7ed3f000116e2a4
Baseline,IUD_2,False,False,True,4,False,Female,Black,False,False,False,0,1,0,1,1,58cab9bfc7ed3f000116e2a4
Baseline,breastfeed,False,False,False,2,False,Female,Black,False,False,True,0,1,0,1,1,58cab9bfc7ed3f000116e2a4
Baseline,breastfeed_2,False,False,False,2,False,Female,Black,False,False,False,0,0,0,0,0,58cab9bfc7ed3f000116e2a4
Baseline,lung,True,True,True,5,False,Female,Black,False,False,False,0,0,0,0,0,58cab9bfc7ed3f000116e2a4
Baseline,lung_2,True,True,True,5,False,Female,Black,False,False,False,1,1,0,0,0,58cab9bfc7ed3f000116e2a4
Baseline,rsv,True,True,True,4,False,Male,White,False,True,False,0,1,0,1,1,5dd8b42e01fadf8574e8302b
Baseline,cosleep,False,False,True,5,False,Male,White,False,True,True,0,1,0,1,1,5dd8b42e01fadf8574e8302b
